"","Mass.Feature","Replicate.Name","Adjusted.Area"
"1","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2Control_1",172657.580645161
"2","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2Control_2",223124.129032258
"3","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2Control_3",286433.935483871
"4","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMB_1",263244.225806452
"5","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMB_2",203868.129032258
"6","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMB_3",168483.451612903
"7","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMBnoBT_1",162720.870967742
"8","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMBnoBT_2",426598.419354839
"9","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMBnoBT_3",203240.419354839
"10","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DSW_1",186225.838709677
"11","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DSW_2",283745.35483871
"12","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DSW_3",177876.64516129
"13","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2noBT_1",248471.064516129
"14","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2noBT_2",279680.677419355
"15","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2noBT_3",194121.322580645
"16","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2WBT_1",322833.612903226
"17","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2WBT_2",237605.419354839
"18","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2WBT_3",196666.774193548
"19","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2IT0_1",136100.741935484
"20","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2IT0_2",218634.741935484
